@relation LDCities

@attribute http://dbpedia.org/class/yago/AdministrativeDistrict108491826 {0,1}
@attribute http://dbpedia.org/class/yago/City108524735 {0,1}
@attribute http://dbpedia.org/class/yago/District108552138 {0,1}
@attribute http://dbpedia.org/class/yago/GeographicalArea108574314 {0,1}
@attribute http://dbpedia.org/class/yago/HostCitiesOfTheCommonwealthGames {0,1}
@attribute http://dbpedia.org/class/yago/HostCitiesOfTheWinterOlympicGames {0,1}
@attribute http://dbpedia.org/class/yago/Location100027167 {0,1}
@attribute http://dbpedia.org/class/yago/Municipality108626283 {0,1}
@attribute http://dbpedia.org/class/yago/Object100002684 {0,1}
@attribute http://dbpedia.org/class/yago/PhysicalEntity100001930 {0,1}
@attribute http://dbpedia.org/class/yago/Region108630985 {0,1}
@attribute http://dbpedia.org/class/yago/Site108651247 {0,1}
@attribute http://dbpedia.org/class/yago/Tract108673395 {0,1}
@attribute http://dbpedia.org/class/yago/UrbanArea108675967 {0,1}
@attribute http://dbpedia.org/class/yago/YagoGeoEntity {0,1}
@attribute http://dbpedia.org/class/yago/YagoLegalActorGeo {0,1}
@attribute http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity {0,1}
@attribute http://dbpedia.org/ontology/City {0,1}
@attribute http://dbpedia.org/ontology/Place {0,1}
@attribute http://dbpedia.org/ontology/PopulatedPlace {0,1}
@attribute http://dbpedia.org/ontology/Settlement {0,1}
@attribute http://schema.org/City {0,1}
@attribute http://schema.org/Place {0,1}
@attribute http://umbel.org/umbel/rc/City {0,1}
@attribute http://umbel.org/umbel/rc/Location_Underspecified {0,1}
@attribute http://umbel.org/umbel/rc/PopulatedPlace {0,1}
@attribute http://umbel.org/umbel/rc/Village {0,1}
@attribute http://www.opengis.net/gml/_Feature {0,1}
@attribute http://www.w3.org/2002/07/owl#Thing {0,1}
@attribute http://dbpedia.org/class/yago/Area108497294 {0,1}
@attribute http://dbpedia.org/class/yago/CantonalCapitalsOfSwitzerland {0,1}
@attribute http://dbpedia.org/class/yago/Capital108518505 {0,1}
@attribute http://dbpedia.org/class/yago/Center108523483 {0,1}
@attribute http://dbpedia.org/class/yago/CitiesInSwitzerland {0,1}
@attribute http://dbpedia.org/class/yago/Seat108647945 {0,1}
@attribute http://dbpedia.org/class/yago/Artifact100021939 {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsInEurope {0,1}
@attribute http://dbpedia.org/class/yago/Country108544813 {0,1}
@attribute http://dbpedia.org/class/yago/EuropeanCapitalsOfCulture {0,1}
@attribute http://dbpedia.org/class/yago/NUTS2StatisticalRegionsOfTheEuropeanUnion {0,1}
@attribute http://dbpedia.org/class/yago/PopulatedPlacesEstablishedInThe1stMillenniumBC {0,1}
@attribute http://dbpedia.org/class/yago/PopulatedPlacesOnTheDanube {0,1}
@attribute http://dbpedia.org/class/yago/Region108630039 {0,1}
@attribute http://dbpedia.org/class/yago/Structure104341686 {0,1}
@attribute http://dbpedia.org/class/yago/Whole100003553 {0,1}
@attribute http://dbpedia.org/class/yago/AustralianCapitalCities {0,1}
@attribute http://dbpedia.org/class/yago/CoastalCitiesInAustralia {0,1}
@attribute http://dbpedia.org/class/yago/HostCitiesOfTheSummerOlympicGames {0,1}
@attribute http://dbpedia.org/class/yago/NationalCapital108691669 {0,1}
@attribute http://dbpedia.org/class/yago/PopulatedPlacesEstablishedInThe11thCentury {0,1}
@attribute http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheBalticSea {0,1}
@attribute http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheNorthSea {0,1}
@attribute http://dbpedia.org/class/yago/Abstraction100002137 {0,1}
@attribute http://dbpedia.org/class/yago/Group100031264 {0,1}
@attribute http://dbpedia.org/class/yago/SocialGroup107950920 {0,1}
@attribute http://dbpedia.org/class/yago/GermanStateCapitals {0,1}
@attribute http://dbpedia.org/class/yago/StateCapital108695539 {0,1}
@attribute http://dbpedia.org/class/yago/FormerNationalCapitals {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsOfFormerNations {0,1}
@attribute http://dbpedia.org/class/yago/CountySeat108547143 {0,1}
@attribute http://dbpedia.org/class/yago/County108546183 {0,1}
@attribute http://dbpedia.org/class/yago/PortSettlementsInTheUnitedStates {0,1}
@attribute http://dbpedia.org/class/yago/NUTS1StatisticalRegionsOfTheEuropeanUnion {0,1}
@attribute http://dbpedia.org/class/yago/PopulatedPlacesOnTheGreatLakes {0,1}
@attribute http://dbpedia.org/class/yago/PlannedCapitals {0,1}
@attribute http://dbpedia.org/class/yago/Economy108366753 {0,1}
@attribute http://dbpedia.org/class/yago/MemberStatesOfTheUnitedNations {0,1}
@attribute http://dbpedia.org/class/yago/System108435388 {0,1}
@attribute http://dbpedia.org/ontology/Country {0,1}
@attribute http://schema.org/Country {0,1}
@attribute http://umbel.org/umbel/rc/Country {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsInAsia {0,1}
@attribute http://dbpedia.org/class/yago/PopulatedCoastalPlacesInJapan {0,1}
@attribute http://dbpedia.org/class/yago/PortSettlementsInJapan {0,1}
@attribute http://dbpedia.org/class/yago/Prefecture108626947 {0,1}
@attribute http://dbpedia.org/ontology/AdministrativeRegion {0,1}
@attribute http://dbpedia.org/ontology/Region {0,1}
@attribute http://schema.org/AdministrativeArea {0,1}
@attribute http://dbpedia.org/class/yago/Commune108541609 {0,1}
@attribute http://dbpedia.org/class/yago/GeographicPoint108578706 {0,1}
@attribute http://dbpedia.org/class/yago/Point108620061 {0,1}
@attribute http://dbpedia.org/class/yago/Port108633957 {0,1}
@attribute http://dbpedia.org/class/yago/Town108665504 {0,1}
@attribute http://dbpedia.org/class/yago/WorldTradeOrganizationMemberEconomies {0,1}
@attribute http://dbpedia.org/class/yago/IndependentCities {0,1}
@attribute http://dbpedia.org/class/yago/MetropolitanAreasOfChina {0,1}
@attribute http://dbpedia.org/class/yago/HolyCities {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsInSouthAmerica {0,1}
@attribute http://dbpedia.org/class/yago/CapitalDistrictsAndTerritories {0,1}
@attribute http://dbpedia.org/class/yago/State108654360 {0,1}
@attribute http://dbpedia.org/class/yago/AmarnaLettersLocations {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsInAfrica {0,1}
@attribute http://dbpedia.org/class/yago/PortCitiesInAfrica {0,1}
@attribute http://dbpedia.org/class/yago/PortsAndHarboursOfTheIndianOcean {0,1}
@attribute http://dbpedia.org/class/yago/ProvincialCapital108695198 {0,1}
@attribute http://dbpedia.org/class/yago/AncientGreekCities {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsInNorthAmerica {0,1}
@attribute http://dbpedia.org/class/yago/ProvincialCapitalsInChina {0,1}
@attribute http://dbpedia.org/class/yago/CapitalsOfPakistan {0,1}
@attribute http://dbpedia.org/class/yago/MetropolitanAreasOfPakistan {0,1}
@attribute http://dbpedia.org/class/yago/HeroCitiesOfTheSovietUnion {0,1}
@attribute http://dbpedia.org/class/yago/IndianCapitalCities {0,1}
@attribute Label {high,medium,low}

@data
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
