@relation 'MM - CC'

@attribute entrez string
@attribute GO:0005575 {0,1}
@attribute GO:0005694 {0,1}
@attribute GO:0043226 {0,1}
@attribute GO:0043228 {0,1}
@attribute GO:0043229 {0,1}
@attribute GO:0043232 {0,1}
@attribute GO:0044422 {0,1}
@attribute GO:0044424 {0,1}
@attribute GO:0044428 {0,1}
@attribute GO:0044446 {0,1}
@attribute GO:0044464 {0,1}
@attribute GO:0005634 {0,1}
@attribute GO:0043227 {0,1}
@attribute GO:0043231 {0,1}
@attribute GO:0016020 {0,1}
@attribute GO:0032991 {0,1}
@attribute GO:0043234 {0,1}
@attribute GO:1990391 {0,1}
@attribute GO:0044444 {0,1}
@attribute GO:0030529 {0,1}
@attribute GO:0035770 {0,1}
@attribute GO:0036464 {0,1}
@attribute GO:0005737 {0,1}
@attribute GO:0005764 {0,1}
@attribute GO:0000323 {0,1}
@attribute GO:0005773 {0,1}
@attribute GO:0005768 {0,1}
@attribute GO:0005783 {0,1}
@attribute GO:0016234 {0,1}
@attribute GO:0016605 {0,1}
@attribute GO:0016604 {0,1}
@attribute GO:0044451 {0,1}
@attribute GO:0031410 {0,1}
@attribute GO:0031982 {0,1}
@attribute GO:0070062 {0,1}
@attribute GO:0031988 {0,1}
@attribute GO:0043230 {0,1}
@attribute GO:0044421 {0,1}
@attribute GO:0065010 {0,1}
@attribute GO:1903561 {0,1}
@attribute GO:0005576 {0,1}
@attribute GO:0005615 {0,1}
@attribute GO:0005886 {0,1}
@attribute GO:0016021 {0,1}
@attribute GO:0031224 {0,1}
@attribute GO:0044425 {0,1}
@attribute GO:0005829 {0,1}
@attribute GO:0005739 {0,1}
@attribute GO:0005794 {0,1}
@attribute GO:0005654 {0,1}
@attribute GO:0005856 {0,1}
@attribute GO:0000784 {0,1}
@attribute GO:0000781 {0,1}
@attribute GO:0044427 {0,1}
@attribute GO:0044454 {0,1}
@attribute GO:0098687 {0,1}
@attribute GO:0005887 {0,1}
@attribute GO:0031226 {0,1}
@attribute GO:0044459 {0,1}
@attribute GO:0000790 {0,1}
@attribute GO:0000785 {0,1}
@attribute GO:0005667 {0,1}
@attribute GO:0009986 {0,1}
@attribute GO:0098796 {0,1}
@attribute GO:0098797 {0,1}
@attribute GO:0030054 {0,1}
@attribute GO:0030055 {0,1}
@attribute GO:0042995 {0,1}
@attribute GO:0044463 {0,1}
@attribute GO:0098589 {0,1}
@attribute GO:0098590 {0,1}
@attribute GO:0042383 {0,1}
@attribute GO:0097458 {0,1}
@attribute GO:0045121 {0,1}
@attribute GO:0045202 {0,1}
@attribute GO:0044456 {0,1}
@attribute GO:0005578 {0,1}
@attribute GO:0031012 {0,1}
@attribute GO:0043025 {0,1}
@attribute GO:0044297 {0,1}
@attribute GO:0043235 {0,1}
@attribute GO:0061695 {0,1}
@attribute GO:0098802 {0,1}
@attribute GO:1902494 {0,1}
@attribute GO:1902911 {0,1}
@attribute GO:1990234 {0,1}
@attribute GO:0005901 {0,1}
@attribute GO:0044853 {0,1}
@attribute GO:0036064 {0,1}
@attribute GO:0005815 {0,1}
@attribute GO:0044430 {0,1}
@attribute GO:0044441 {0,1}
@attribute GO:0030424 {0,1}
@attribute GO:0043005 {0,1}
@attribute GO:0000151 {0,1}
@attribute GO:0048471 {0,1}
@attribute GO:0000792 {0,1}
@attribute GO:0005730 {0,1}
@attribute GO:0005759 {0,1}
@attribute GO:0031974 {0,1}
@attribute GO:0043233 {0,1}
@attribute GO:0044429 {0,1}
@attribute GO:0070013 {0,1}
@attribute GO:0044438 {0,1}
@attribute GO:0044439 {0,1}
@attribute GO:0043209 {0,1}
@attribute GO:0005929 {0,1}
@attribute GO:0031965 {0,1}
@attribute GO:0031090 {0,1}
@attribute GO:0044798 {0,1}
@attribute GO:0090575 {0,1}
@attribute GO:0016363 {0,1}
@attribute GO:0005622 {0,1}
@attribute GO:0012506 {0,1}
@attribute GO:0030425 {0,1}
@attribute GO:0031968 {0,1}
@attribute GO:0019867 {0,1}
@attribute GO:0098805 {0,1}
@attribute GO:0000775 {0,1}
@attribute GO:0000776 {0,1}
@attribute GO:0005741 {0,1}
@attribute GO:0031966 {0,1}
@attribute GO:0098588 {0,1}
@attribute GO:0005743 {0,1}
@attribute GO:0019866 {0,1}
@attribute GO:0005635 {0,1}
@attribute GO:0031967 {0,1}
@attribute GO:0031975 {0,1}
@attribute GO:0044432 {0,1}
@attribute GO:0009898 {0,1}
@attribute GO:0098552 {0,1}
@attribute GO:0098562 {0,1}
@attribute GO:0016324 {0,1}
@attribute GO:0005925 {0,1}
@attribute GO:0005912 {0,1}
@attribute GO:0005924 {0,1}
@attribute GO:0070161 {0,1}
@attribute GO:1902554 {0,1}
@attribute GO:0005819 {0,1}
@attribute GO:0016023 {0,1}
@attribute GO:0042645 {0,1}
@attribute GO:0009295 {0,1}
@attribute class {0,1}

@data
17685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18412,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16591,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18534,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14297,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107895,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110265,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22590,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
