@relation 'MM - MF'

@attribute entrez string
@attribute GO:0000166 {0,1}
@attribute GO:0003674 {0,1}
@attribute GO:0005488 {0,1}
@attribute GO:0036094 {0,1}
@attribute GO:0097159 {0,1}
@attribute GO:1901265 {0,1}
@attribute GO:1901363 {0,1}
@attribute GO:0000287 {0,1}
@attribute GO:0043167 {0,1}
@attribute GO:0043169 {0,1}
@attribute GO:0046872 {0,1}
@attribute GO:0003676 {0,1}
@attribute GO:0003677 {0,1}
@attribute GO:0043566 {0,1}
@attribute GO:0003690 {0,1}
@attribute GO:0003684 {0,1}
@attribute GO:0005524 {0,1}
@attribute GO:0001882 {0,1}
@attribute GO:0001883 {0,1}
@attribute GO:0017076 {0,1}
@attribute GO:0030554 {0,1}
@attribute GO:0032549 {0,1}
@attribute GO:0032550 {0,1}
@attribute GO:0032553 {0,1}
@attribute GO:0032555 {0,1}
@attribute GO:0032559 {0,1}
@attribute GO:0035639 {0,1}
@attribute GO:0043168 {0,1}
@attribute GO:0097367 {0,1}
@attribute GO:0008022 {0,1}
@attribute GO:0005515 {0,1}
@attribute GO:0008094 {0,1}
@attribute GO:0003824 {0,1}
@attribute GO:0016462 {0,1}
@attribute GO:0016787 {0,1}
@attribute GO:0016817 {0,1}
@attribute GO:0016818 {0,1}
@attribute GO:0016887 {0,1}
@attribute GO:0017111 {0,1}
@attribute GO:0042623 {0,1}
@attribute GO:0043565 {0,1}
@attribute GO:1990837 {0,1}
@attribute GO:0019899 {0,1}
@attribute GO:0019901 {0,1}
@attribute GO:0019900 {0,1}
@attribute GO:0032403 {0,1}
@attribute GO:0044877 {0,1}
@attribute GO:0042803 {0,1}
@attribute GO:0042802 {0,1}
@attribute GO:0046983 {0,1}
@attribute GO:0003712 {0,1}
@attribute GO:0000988 {0,1}
@attribute GO:0000989 {0,1}
@attribute GO:0005080 {0,1}
@attribute GO:0008270 {0,1}
@attribute GO:0046914 {0,1}
@attribute GO:0031625 {0,1}
@attribute GO:0044389 {0,1}
@attribute GO:0042169 {0,1}
@attribute GO:0019904 {0,1}
@attribute GO:0004871 {0,1}
@attribute GO:0060089 {0,1}
@attribute GO:0005102 {0,1}
@attribute GO:0070851 {0,1}
@attribute GO:0019838 {0,1}
@attribute GO:0016829 {0,1}
@attribute GO:0031406 {0,1}
@attribute GO:0043177 {0,1}
@attribute GO:0016491 {0,1}
@attribute GO:0051536 {0,1}
@attribute GO:0051540 {0,1}
@attribute GO:0016740 {0,1}
@attribute GO:0016757 {0,1}
@attribute GO:0004175 {0,1}
@attribute GO:0008233 {0,1}
@attribute GO:0070011 {0,1}
@attribute GO:0003691 {0,1}
@attribute GO:0042162 {0,1}
@attribute GO:0004003 {0,1}
@attribute GO:0003678 {0,1}
@attribute GO:0004386 {0,1}
@attribute GO:0008026 {0,1}
@attribute GO:0070035 {0,1}
@attribute GO:0044212 {0,1}
@attribute GO:0000975 {0,1}
@attribute GO:0001067 {0,1}
@attribute GO:0044822 {0,1}
@attribute GO:0003723 {0,1}
@attribute GO:0016835 {0,1}
@attribute GO:0005215 {0,1}
@attribute GO:0015075 {0,1}
@attribute GO:0022857 {0,1}
@attribute GO:0022891 {0,1}
@attribute GO:0022892 {0,1}
@attribute GO:0008324 {0,1}
@attribute GO:0015077 {0,1}
@attribute GO:0022890 {0,1}
@attribute GO:0000978 {0,1}
@attribute GO:0000976 {0,1}
@attribute GO:0000977 {0,1}
@attribute GO:0000987 {0,1}
@attribute GO:0001012 {0,1}
@attribute GO:0001159 {0,1}
@attribute GO:0000981 {0,1}
@attribute GO:0001071 {0,1}
@attribute GO:0003700 {0,1}
@attribute GO:0003713 {0,1}
@attribute GO:0008134 {0,1}
@attribute GO:0003779 {0,1}
@attribute GO:0008092 {0,1}
@attribute GO:0005198 {0,1}
@attribute GO:0050998 {0,1}
@attribute GO:0000982 {0,1}
@attribute GO:0001046 {0,1}
@attribute GO:0001047 {0,1}
@attribute GO:0001077 {0,1}
@attribute GO:0001228 {0,1}
@attribute GO:0001190 {0,1}
@attribute GO:0001076 {0,1}
@attribute GO:0001191 {0,1}
@attribute GO:0098811 {0,1}
@attribute GO:0046982 {0,1}
@attribute GO:0051879 {0,1}
@attribute GO:0031072 {0,1}
@attribute GO:0005158 {0,1}
@attribute GO:0005159 {0,1}
@attribute GO:0050839 {0,1}
@attribute GO:0005179 {0,1}
@attribute GO:0008289 {0,1}
@attribute GO:0008083 {0,1}
@attribute GO:0008047 {0,1}
@attribute GO:0019207 {0,1}
@attribute GO:0019887 {0,1}
@attribute GO:0030234 {0,1}
@attribute GO:0098772 {0,1}
@attribute GO:0030674 {0,1}
@attribute GO:0030971 {0,1}
@attribute GO:0060090 {0,1}
@attribute GO:1990782 {0,1}
@attribute GO:0043548 {0,1}
@attribute GO:0008144 {0,1}
@attribute GO:0033218 {0,1}
@attribute GO:0042277 {0,1}
@attribute GO:1901681 {0,1}
@attribute GO:0004930 {0,1}
@attribute GO:0004872 {0,1}
@attribute GO:0004888 {0,1}
@attribute GO:0038023 {0,1}
@attribute GO:0004672 {0,1}
@attribute GO:0016301 {0,1}
@attribute GO:0016772 {0,1}
@attribute GO:0016773 {0,1}
@attribute GO:0004713 {0,1}
@attribute GO:0004714 {0,1}
@attribute GO:0019199 {0,1}
@attribute GO:0017046 {0,1}
@attribute GO:0042562 {0,1}
@attribute GO:0001664 {0,1}
@attribute GO:0004842 {0,1}
@attribute GO:0019787 {0,1}
@attribute GO:0008766 {0,1}
@attribute GO:0016874 {0,1}
@attribute GO:0016879 {0,1}
@attribute GO:0016881 {0,1}
@attribute GO:0018169 {0,1}
@attribute GO:0070739 {0,1}
@attribute GO:0043773 {0,1}
@attribute GO:0043774 {0,1}
@attribute GO:0070735 {0,1}
@attribute GO:0070736 {0,1}
@attribute GO:0070737 {0,1}
@attribute GO:0070738 {0,1}
@attribute GO:0070740 {0,1}
@attribute GO:0003682 {0,1}
@attribute GO:0042826 {0,1}
@attribute GO:0008418 {0,1}
@attribute GO:0016810 {0,1}
@attribute GO:0016811 {0,1}
@attribute GO:0008759 {0,1}
@attribute GO:0019213 {0,1}
@attribute GO:0018748 {0,1}
@attribute GO:0018749 {0,1}
@attribute GO:0033558 {0,1}
@attribute GO:0034571 {0,1}
@attribute GO:0034573 {0,1}
@attribute GO:0034576 {0,1}
@attribute GO:0034781 {0,1}
@attribute GO:0034876 {0,1}
@attribute GO:0034882 {0,1}
@attribute GO:0034885 {0,1}
@attribute GO:0043747 {0,1}
@attribute GO:0043748 {0,1}
@attribute GO:0016836 {0,1}
@attribute GO:0043864 {0,1}
@attribute GO:0043909 {0,1}
@attribute GO:0004407 {0,1}
@attribute GO:0017136 {0,1}
@attribute GO:0034979 {0,1}
@attribute GO:0047419 {0,1}
@attribute GO:0052773 {0,1}
@attribute GO:0052790 {0,1}
@attribute GO:0016788 {0,1}
@attribute GO:0052689 {0,1}
@attribute GO:0070403 {0,1}
@attribute GO:0048037 {0,1}
@attribute GO:0050662 {0,1}
@attribute GO:0051287 {0,1}
@attribute GO:0042393 {0,1}
@attribute GO:0004601 {0,1}
@attribute GO:0016209 {0,1}
@attribute GO:0016684 {0,1}
@attribute GO:0020037 {0,1}
@attribute GO:0046906 {0,1}
@attribute GO:0004721 {0,1}
@attribute GO:0016791 {0,1}
@attribute GO:0042578 {0,1}
@attribute GO:0004722 {0,1}
@attribute GO:0001085 {0,1}
@attribute GO:0002020 {0,1}
@attribute GO:0002039 {0,1}
@attribute GO:0019903 {0,1}
@attribute GO:0019902 {0,1}
@attribute GO:0047485 {0,1}
@attribute GO:0051721 {0,1}
@attribute GO:0033613 {0,1}
@attribute GO:0004674 {0,1}
@attribute GO:0005504 {0,1}
@attribute GO:0033293 {0,1}
@attribute GO:0097110 {0,1}
@attribute GO:0003714 {0,1}
@attribute GO:0035257 {0,1}
@attribute GO:0051427 {0,1}
@attribute GO:0005126 {0,1}
@attribute GO:0004518 {0,1}
@attribute GO:0004252 {0,1}
@attribute GO:0008236 {0,1}
@attribute GO:0017171 {0,1}
@attribute GO:0004860 {0,1}
@attribute GO:0004857 {0,1}
@attribute GO:0019210 {0,1}
@attribute class {0,1}

@data
17685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18412,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16591,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18534,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14297,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18491,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22596,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22590,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
